head,relation,tail,time,score
赖清德政府,损害,台湾的产业,2024-01-17,0.000006
米勒,担忧,台湾政府,2024-01-17,0.000005
赖清德,认为热情,芯片,2024-01-17,0.000005
米勒,质疑,台湾政府,2024-01-17,0.000005
米勒,认为有威胁,台湾政府,2024-01-17,0.000004
克里斯·米勒,支持,台湾政府,2024-01-17,0.000004
克里斯·米勒,认为犯罪,台湾政府,2024-01-17,0.000003
克里斯·米勒,认为违规,台湾政府,2024-01-17,0.000002
美国国会,主导,芯片,2024-01-26,0.000001
半导体,关联,台湾经济,2024-01-17,0.000001
TSMC,建设,工厂,2024-01-26,0.000001
克里斯·米勒,认为有危机,台湾政府,2024-01-17,0.000001
克里斯·米勒,认为恐怖,台湾政府,2024-01-17,0.000001
吉娜·雷蒙多,主导,芯片,2024-01-26,0.000001
克里斯·米勒,认为缺乏,台湾政府,2024-01-17,0.000001
米勒,认为违规,台湾政府,2024-01-17,0.000001
米勒,认为有危机,台湾政府,2024-01-17,0.000001
米勒,认为恐怖,台湾政府,2024-01-17,0.000001
赖清德,批评,芯片,2024-01-17,0.000000
米勒,认为缺乏,台湾政府,2024-01-17,0.000000
台湾政府,面临决策,TSMC海外工厂,2024-01-17,0.000000
美国国会,认可,芯片,2024-01-26,0.000000
TSMC,遇到问题,亚利桑那州晶圆厂,2024-01-17,0.000000
台湾政府,实施,国家安全措施,2024-01-17,0.000000
TSMC,投资,工厂,2024-01-26,0.000000
TSMC,占据,全球代工产能60%,2024-01-17,0.000000
克里斯·米勒,批评,台湾政府,2024-01-17,0.000000
TSMC,面临压力,美国政府,2024-01-17,0.000000
米勒,批评,台湾政府,2024-01-17,0.000000
美国国会,支持,芯片,2024-01-26,0.000000
美国国会,增进,芯片,2024-01-26,0.000000
半导体,面临挑战,中美技术竞争,2024-01-17,0.000000
吉娜·雷蒙多,支持,芯片,2024-01-26,0.000000
克里斯·米勒,认为有暴力,台湾政府,2024-01-17,0.000000
TSMC,被评价为,全球资产,2024-01-17,0.000000
TSMC,将获得,补贴,2024-01-26,0.000000
